"﻿Code","Name","Image name","Parent Category Code (optional)"
"01","เหล็ก/วายเมช","no_image.png"," "
"02","ไม้จริง/ไม้สังเคราะห์","no_image.png"," "
"03","ปูน","no_image.png"," "
"04","สี","no_image.png"," "
"05","ประตู/หน้าต่าง/บานซิงค์","no_image.png"," "
"06","เมทัลชีท","no_image.png"," "
"07","กบ.หลังคา","no_image.png"," "
"08","กบ.ปูพื้น","no_image.png"," "
"09","อิฐ/บล็อก","no_image.png"," "
"10","ทราย/หิน/ดินถม","no_image.png"," "
"11","วงบ่อ/ท่อปูน/เสาปูน/ท่อใยหิน","no_image.png"," "
"12","ไฟฟ้า/ท่อไฟ","no_image.png"," "
"13","ประปา","no_image.png"," "
"14","สุขภัณฑ์","no_image.png"," "
"15","ถังน้ำทุกชนิด","no_image.png"," "
"16","ผลิตภัณฑ์เคมี","no_image.png"," "
"17","ไวนิล/รางน้ำฝน/สักะสี","no_image.png"," "
"18","ฝ้า","no_image.png"," "
"19","เครื่องมือช่าง","no_image.png"," "
"20","ฮาร์ดแวร์ 1","no_image.png"," "
"21","ฮาร์ดแวร์ 2","no_image.png"," "
"22","ฮาร์ดแวร์ 3","no_image.png"," "
